and confirm that address for me please 	command
and leave that address for me please	command
and send that address for me please	command
and write that address for me please	command
and give that address for me please	command
and deliver that address for me please	command
and find that address for me please	command
and get that address for me please	command
and return that address for me please	command
and arrange that address for me please	command
and bring that address for me please	command
 let me think 	command
let us think	command
let me think	command
let them think	command
let yourself think	command
let him think	command
let ourselves think	command
let you think	command
let alone think	command
let it think	command
let her think	command
show your credit card	command
show your credit !	command
show your credit .	command
show your credit ;	command
show your credit :	command
show your credit card	command
show your credit ?	command
show your credit |	command
show your credit cards	command
show your credit here	command
show your credit ...	command
book that for  me 	command
book that taught me	command
book that tells me	command
book that saved me	command
book that reminds me	command
book that loves me	command
book that haunted me	command
book that teaches me	command
book that fascinated me	command
book that told me	command
book that fits me	command
give me the postcode first of all 	command
give me the postcode address of all	command
give me the postcode name of all	command
give me the postcode details of all	command
give me the postcode information of all	command
give me the postcode number of all	command
give me the postcode description of all	command
give me the postcode names of all	command
give me the postcode card of all	command
give me the postcode book of all	command
give me the postcode code of all	command
 and just confirm the rest of the address please 	command
and just confirm the authenticity of the address please	command
and just confirm the validity of the address please	command
and just confirm the identity of the address please	command
and just confirm the accuracy of the address please	command
and just confirm the location of the address please	command
and just confirm the contents of the address please	command
and just confirm the details of the address please	command
and just confirm the text of the address please	command
and just confirm the meaning of the address please	command
and just confirm the name of the address please	command
let me just get that down ok 	command
let me just get that down !	command
let me just get that down .	command
let me just get that down ?	command
let me just get that down ;	command
let me just get that down here	command
let me just get that down now	command
let me just get that down :	command
let me just get that down tonight	command
let me just get that down …	command
let me just get that down ,	command
show your credit card 	command
show your credit !	command
show your credit .	command
show your credit ;	command
show your credit :	command
show your credit card	command
show your credit ?	command
show your credit |	command
show your credit cards	command
show your credit here	command
show your credit ...	command
just leave it the 19 80 	command
please leave it the 19 80	command
lets leave it the 19 80	command
you leave it the 19 80	command
we leave it the 19 80	command
let leave it the 19 80	command
now leave it the 19 80	command
• leave it the 19 80	command
then leave it the 19 80	command
You leave it the 19 80	command
Now leave it the 19 80	command
let's try  em i want to try and book that coming back on the on the 19:00 	command
let's try em i want to try and book that coming back on the on ##board 19:00	command
let's try em i want to try and book that coming back on the on line 19:00	command
let's try em i want to try and book that coming back on the on at 19:00	command
let's try em i want to try and book that coming back on the on ##ion 19:00	command
let's try em i want to try and book that coming back on the on @ 19:00	command
let's try em i want to try and book that coming back on the on ##line 19:00	command
let's try em i want to try and book that coming back on the on ##screen 19:00	command
let's try em i want to try and book that coming back on the on the 19:00	command
let's try em i want to try and book that coming back on the on ##cle 19:00	command
let's try em i want to try and book that coming back on the on page 19:00	command
 remember 	command
just bear with me 	command
just bear with me	command
just bear beside me	command
just bear for me	command
just bear behind me	command
just bear inside me	command
just bear on me	command
just bear ##d me	command
just bear to me	command
just bear me me	command
just bear by me	command
hold on a second 	command
hold for a second	command
hold up a second	command
hold just a second	command
hold back a second	command
hold on a second	command
hold me a second	command
hold down a second	command
hold half a second	command
hold until a second	command
hold only a second	command
excuse a moment  	command
excuse this moment	command
excuse the moment	command
excuse that moment	command
excuse a moment	command
excuse any moment	command
excuse every moment	command
excuse ##ous moment	command
excuse each moment	command
excuse : moment	command
excuse ##d moment	command
stick to the date and  time that you book 	command
stick to the date and place that you book	command
stick to the date and places that you book	command
stick to the date and say that you book	command
stick to the date and time that you book	command
stick to the date and note that you book	command
stick to the date and pray that you book	command
stick to the date and hope that you book	command
stick to the date and how that you book	command
stick to the date and name that you book	command
stick to the date and stuff that you book	command
hang on 	command
click on	command
based on	command
comments on	command
depends on	command
carry on	command
information on	command
report on	command
focus on	command
comment on	command
focuses on	command
confirm that address for me please 	command
send that address for me please	command
leave that address for me please	command
get that address for me please	command
Send that address for me please	command
Find that address for me please	command
find that address for me please	command
return that address for me please	command
Call that address for me please	command
deliver that address for me please	command
write that address for me please	command
 and confirm the address for me please 	command
and confirm the address for registration please	command
and confirm the address for please please	command
and confirm the address for whom please	command
and confirm the address for visitors please	command
and confirm the address for you please	command
and confirm the address for me please	command
and confirm the address for tomorrow please	command
and confirm the address for details please	command
and confirm the address for delivery please	command
and confirm the address for sale please	command
let me get it the right way round 	command
let me get it all right way round	command
let me get it out right way round	command
let me get it done right way round	command
let me get it right right way round	command
let me get it back right way round	command
let me get it just right way round	command
let me get it up right way round	command
let me get it started right way round	command
let me get it sorted right way round	command
let me get it ready right way round	command
hold it 	command
hold !	command
hold .	command
hold ##fast	command
hold ##over	command
hold ##en	command
hold ?	command
hold steady	command
hold ;	command
hold ##up	command
hold :	command
 show 	command
let me get this right 	command
let me get this .	command
let me get this !	command
let me get this ;	command
let me get this :	command
let me get this ?	command
let me get this message	command
let me get this feeling	command
let me get this ...	command
let me get this information	command
let me get this straight	command
call us back when you're ready 	command
call us back when you are ready	command
call us back when you get ready	command
call us back when you got ready	command
call us back when you feel ready	command
call us back when you grow ready	command
call us back when you seem ready	command
call us back when you look ready	command
call us back when you were ready	command
call us back when you sound ready	command
call us back when you come ready	command
 see 	command
let's go with that then to for the  	command
let's go with that then to for the	command
Let's go with that then to for the	command
letting's go with that then to for the	command
lets's go with that then to for the	command
that's go with that then to for the	command
That's go with that then to for the	command
it's go with that then to for the	command
here's go with that then to for the	command
what's go with that then to for the	command
one's go with that then to for the	command
hold the line 	command
hold the line	command
hold this line	command
hold ##fast line	command
hold a line	command
hold ##over line	command
hold open line	command
hold on line	command
hold your line	command
hold up line	command
hold - line	command
 just hold the line 	command
just hold the breath	command
just hold the gun	command
just hold the baby	command
just hold the !	command
just hold the ball	command
just hold the .	command
just hold the wheel	command
just hold the reins	command
just hold the ?	command
just hold the heart	command
let's go for it 	command
let's go get it	command
let's go with it	command
let's go make it	command
let's go do it	command
let's go through it	command
let's go about it	command
let's go find it	command
let's go eat it	command
let's go fix it	command
let's go for it	command
get on the train at 16:25 	command
get on the runway at 16:25	command
get on the road at 16:25	command
get on the line at 16:25	command
get on the phone at 16:25	command
get on the track at 16:25	command
get on the bike at 16:25	command
get on the train at 16:25	command
get on the roof at 16:25	command
get on the board at 16:25	command
get on the bus at 16:25	command
Remember the test date.	command
indicates the test date.	command
denotes the test date.	command
hence the test date.	command
denote the test date.	command
see the test date.	command
calculate the test date.	command
determines the test date.	command
at the test date.	command
is the test date.	command
note the test date.	command
Live in peace	command
justice in peace	command
faith in peace	command
peace in peace	command
youth in peace	command
women in peace	command
Justice in peace	command
believers in peace	command
nations in peace	command
war in peace	command
joy in peace	command
Include the required attachement(s).	command
Include the required attachement (s) :	command
Include the required attachement (s) .	command
Include the required attachement (s) ;	command
Include the required attachement (s) •	command
Include the required attachement (s) =	command
Include the required attachement (s) |	command
Include the required attachement (s) {	command
Include the required attachement (s) ...	command
Include the required attachement (s) ?	command
Include the required attachement (s) satisfying	command
Include the required attachements.	command
Include the required attachements :	command
Include the required attachements .	command
Include the required attachements ;	command
Include the required attachements ?	command
Include the required attachements !	command
Include the required attachements …	command
Include the required attachements ...	command
Include the required attachements are	command
Include the required attachements above	command
Include the required attachements •	command
Don't follow me	command
Don't follow !	command
Don't follow .	command
Don't follow me	command
Don't follow :	command
Don't follow ;	command
Don't follow him	command
Don't follow ?	command
Don't follow them	command
Don't follow us	command
Don't follow orders	command
Dont follow me	command
Dont follow !	command
Dont follow :	command
Dont follow .	command
Dont follow me	command
Dont follow ;	command
Dont follow thee	command
Dont follow up	command
Dont follow us	command
Dont follow ?	command
Dont follow him	command
Do not eat in class.	command
Do not finish in class.	command
Do not participate in class.	command
Do not classified in class.	command
Do not count in class.	command
Do not compete in class.	command
Do not qualify in class.	command
Do not fall in class.	command
Do not start in class.	command
Do not advance in class.	command
Do not change in class.	command
Kill the butterfly.	command
Kill ##tropical butterfly.	command
Kill : butterfly.	command
Kill ##tail butterfly.	command
Kill = butterfly.	command
Kill yellow butterfly.	command
Kill ##a butterfly.	command
Kill - butterfly.	command
Kill ##wing butterfly.	command
Kill of butterfly.	command
Kill female butterfly.	command
Take me to the library	command
Take me into the library	command
Take me to the library	command
Take me through the library	command
Take me at the library	command
Take me inside the library	command
Take me in the library	command
Take me from the library	command
Take me outside the library	command
Take me toward the library	command
Take me across the library	command
Find out what you like to do most and really give it a whirl!	command
Find out what you like to do most and really give yourself a whirl!	command
Find out what you like to do most and really give you a whirl!	command
Find out what you like to do most and really give me a whirl!	command
Find out what you like to do most and really give them a whirl!	command
Find out what you like to do most and really give it a whirl!	command
Find out what you like to do most and really give us a whirl!	command
Find out what you like to do most and really give everyone a whirl!	command
Find out what you like to do most and really give things a whirl!	command
Find out what you like to do most and really give everybody a whirl!	command
Find out what you like to do most and really give him a whirl!	command
Find out what you like to do most and really give it a whirl	command
Find out what you like to do most and really give it a whirl	command
Find out what you like to do most and really give it your whirl	command
Find out what you like to do most and really give it to whirl	command
Find out what you like to do most and really give it its whirl	command
Find out what you like to do most and really give it some whirl	command
Find out what you like to do most and really give it the whirl	command
Find out what you like to do most and really give it that whirl	command
Find out what you like to do most and really give it you whirl	command
Find out what you like to do most and really give it another whirl	command
Find out what you like to do most and really give it all whirl	command
Believe me!	command
Believe !!	command
Believe ##down!	command
Believe yourself!	command
Believe me!	command
Believe it!	command
Believe them!	command
Believe away!	command
Believe ##r!	command
Believe us!	command
Believe here!	command
Believe me	command
forgive me	command
save me	command
excuse me	command
help me	command
kiss me	command
tell me	command
call me	command
follow me	command
trust me	command
love me	command
Move around town.	command
Move into town.	command
Move the town.	command
Move to town.	command
Move in town.	command
Move through town.	command
Move cape town.	command
Move ghost town.	command
Move by town.	command
Move your town.	command
Move towards town.	command
Lets take a walk	command
Lets take a ##back	command
Lets take a picture	command
Lets take a chance	command
Lets take a while	command
Lets take a .	command
Lets take a majority	command
Lets take a thief	command
Lets take a liking	command
Lets take a breath	command
Lets take a little	command
Dont stop me now!	command
Dont kill me now!	command
Dont forgive me now!	command
Dont hear me now!	command
Dont leave me now!	command
Dont help me now!	command
Dont save me now!	command
Dont tell me now!	command
Dont shoot me now!	command
Dont stop me now!	command
Dont touch me now!	command
Dont stop me now	command
Dont stop me now	command
Dont stop here now	command
Dont stop right now	command
Dont stop till now	command
Dont stop you now	command
Dont stop him now	command
Dont stop down now	command
Dont stop us now	command
Dont stop ! now	command
Dont stop crying now	command
Stop talking now!	command
Stop talking nonsense!	command
Stop talking !!	command
Stop talking again!	command
Stop talking now!	command
Stop talking about!	command
Stop talking loud!	command
Stop talking dirty!	command
Stop talking louder!	command
Stop talking anymore!	command
Stop talking around!	command
Stop talking now	command
Stop right now	command
Stop : now	command
Stop up now	command
Stop ! now	command
Stop till now	command
Stop down now	command
Stop us now	command
Stop - now	command
Stop me now	command
Stop here now	command
Do not smoke in your room.	command
Do not smoke in your nostrils.	command
Do not smoke in your lungs.	command
Do not smoke in your nose.	command
Do not smoke in your mouth.	command
Do not smoke in your face.	command
Do not smoke in your eyes.	command
Do not smoke in your ears.	command
Do not smoke in your hair.	command
Do not smoke in your house.	command
Do not smoke in your boots.	command
Don't you talk to me like that.	command
Don't you talk about me like that.	command
Don't you talk to me like that.	command
Don't you talk with me like that.	command
Don't you talk into me like that.	command
Don't you talk around me like that.	command
Don't you talk like me like that.	command
Don't you talk at me like that.	command
Don't you talk past me like that.	command
