Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's	spam
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 . Text FA to 87121 to receive entry question (std entry rate) £1 & C's apply 08452810075over18 's	spam
FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv	spam
FreeMsg hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send £ å£1.50 to rcv	spam
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.	spam
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461 @ Claim @ KL341 . Valid 12 hours only.	spam
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030	spam
Had colour mobile 11 months or more? U R entitled to upgrade to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030	spam
URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18	spam
URGENT! You have won a 1 week FREE membership in our annual Prize Jackpot! click the word: CLAIM to No : 81010 T & C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18	spam
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged	spam
fee for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO . If you reply NO you will not be charged	spam
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV	spam
www . ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey . Correct or Incorrect? End = Reply END SPTV	spam
Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 	spam
Congrats! 1 year special cinema pass for 2 is yours . call 09061209465 now! C ##00 V, Matrix3, StarWars3, etc . 4 FREE! bx420-ip4-5we . 150pm . Dont miss out!	spam
Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ	spam
Urgent UR awarded a complimentary trip to EuroDisinc ##k, Aco & Entry41 Or å£1000 . To claim txt ##500 to 87121 18+6 * å£1.50 (moreFrmMob . ShrAcomOrSglSuplt) 10, LS1 3AJ	spam
Did you hear about the new \Divorce Barbie\"? It comes with all of Ken's stuff!"	spam
Did you hear about the band \Divorce Barbie\"? It comes with all your Ken's stuff! ''	spam
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!	spam
please call your customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!	spam
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm	spam
hello! We are trying to contact you . Last weekends draw shows that you won a å£1000 prize winner . Call 09064012160 . Claim Code K52 . Valid 12hrs only . 150ppm	spam
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 	spam
You are a holiday U have been specially selected 2 receive å£1000 or a 4 * holiday (flights inc) speak to a live operator to claim 0871277810910p/min (18+ )	spam
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app	spam
Todays telephone numbers #7548 are selected to receive a $350 award . If you have a match please call 08712300220 quoting claim code 4041 standard rates app	spam
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone	spam
Sunshine Quiz Wkly Q! Win = top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP ##30 Tyrone	spam
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p	spam
Want 2 get laid off? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to com! Nt . ec2a . 31p.msg @ 150p	spam
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again	spam
You'll not rcv any more msgs from the chat svc . For FREE Hardcore services text GO to : 69988 If u get nothing u must Age connect @ yr network & try again	spam
